Year,Population_India_in_thousands,India Population_in_Crores,Change,Rate (%)
2020,1380004,1380004385,13586631,0.99
2019,1366418,1366417754,13775474,1.02
2018,1352642,1352642280,13965495,1.04
2017,1338677,1338676785,14159536,1.07
2016,1324517,1324517249,14364846,1.1
2015,1310152,1310152403,14551631,1.12
2014,1295601,1295600772,14758647,1.15
2013,1280842,1280842125,15061878,1.19
2012,1265780,1265780247,15492304,1.24
2011,1250288,1250287943,16006773,1.3
2010,1234281,1234281170,16554955,1.36
2009,1217726,1217726215,17056450,1.42
2008,1200670,1200669765,17460293,1.48
2007,1183209,1183209472,17723181,1.52
2006,1165486,1165486291,17876364,1.56
2005,1147610,1147609927,17986471,1.59
2004,1129623,1129623456,18100312,1.63
2003,1111523,1111523144,18205955,1.67
2002,1093317,1093317189,18317104,1.7
2001,1075000,1075000085,18424536,1.74
2000,1056576,1056575549,18517393,1.78
1999,1038058,1038058156,18574575,1.82
1998,1019484,1019483581,18583551,1.86
1997,1000900,1000900030,18534787,1.89
1996,982365,982365243,18442655,1.91
1995,963922,963922588,18320757,1.94
1994,945602,945601831,18197971,1.96
1993,927404,927403860,18096844,1.99
1992,909307,909307016,18033807,2.02
1991,891273,891273209,17995411,2.06
1990,873278,873277798,17943120,2.1
1989,855335,855334678,17865748,2.13
1988,837469,837468930,17786828,2.17
1987,819682,819682102,17706858,2.21
1986,801975,801975244,17615236,2.25
1985,784360,784360008,17526598,2.29
1984,766833,766833410,17404452,2.32
1983,749429,749428958,17189454,2.35
1982,732239,732239504,16854511,2.36
1981,715385,715384993,16432149,2.35
1980,698953,698952844,15957490,2.34
1979,682995,682995354,15495548,2.32
1978,667500,667499806,15091030,2.31
1977,652409,652408776,14778689,2.32
1976,637630,637630087,14527190,2.33
1975,623103,623102897,14300297,2.35
1974,608803,608802600,14032466,2.36
1973,594770,594770134,13682878,2.35
1972,581087,581087256,13219238,2.33
1971,567868,567868018,12678226,2.28
1970,555190,555189792,12105456,2.23
1969,543084,543084336,11570512,2.18
1968,531514,531513824,11113248,2.14
1967,520401,520400576,10769076,2.11
1966,509632,509631500,10508176,2.11
1965,499123,499123324,10275189,2.1
1964,488848,488848135,10022527,2.09
1963,478826,478825608,9748418,2.08
1962,469077,469077190,9435025,2.05
1961,459642,963922.586,9094486,2.02
1960,450548,450547679,8749101,1.98
1959,441799,441798578,8417600,1.94
1958,433381,433380978,8110283,1.91
1957,425271,425270695,7827884,1.88
1956,417443,417442811,7562216,1.84
1955,409881,409880595,7301999,1.81
1954,402579,402578596,7034227,1.78
1953,395544,395544369,6745296,1.73
1952,388799,388799073,6422125,1.68
1951,382377,382376948,6051748,1.61
1950,376325,376325200,,
